Annotation	Freq	Accession	Assembly	Annotation2
Centromere	97	9764	Unplaced contigs	centromere
Plastid	9	9764	Unplaced contigs	chloroplast
Transposable element	8	9764	Unplaced contigs	ClassI_LTR
Mitochondria	10	9764	Unplaced contigs	mitochondria
Other repeat	1	9764	Unplaced contigs	repeat_region
Telomere	3	9764	Unplaced contigs	telomere
None	12	9764	Unplaced contigs	NA
45S rDNA	31	9888	Unplaced contigs	45S
5S rDNA	14	9888	Unplaced contigs	5S
Centromere	48	9888	Unplaced contigs	centromere
Plastid	2	9888	Unplaced contigs	chloroplast
Transposable element	2	9888	Unplaced contigs	ClassI_LTR
Mitochondria	6	9888	Unplaced contigs	mitochondria
Telomere	4	9888	Unplaced contigs	telomere
None	19	9888	Unplaced contigs	NA
45S rDNA	14	9905	Unplaced contigs	45S
5S rDNA	21	9905	Unplaced contigs	5S
Centromere	103	9905	Unplaced contigs	centromere
Plastid	5	9905	Unplaced contigs	chloroplast
Transposable element	11	9905	Unplaced contigs	ClassI_LTR
Transposable element	2	9905	Unplaced contigs	ClassII_TIR
Mitochondria	4	9905	Unplaced contigs	mitochondria
Other repeat	4	9905	Unplaced contigs	repeat_region
Telomere	8	9905	Unplaced contigs	telomere
None	10	9905	Unplaced contigs	NA
45S rDNA	20	9981	Unplaced contigs	45S
5S rDNA	12	9981	Unplaced contigs	5S
Centromere	70	9981	Unplaced contigs	centromere
Plastid	2	9981	Unplaced contigs	chloroplast
Transposable element	8	9981	Unplaced contigs	ClassI_LTR
Mitochondria	10	9981	Unplaced contigs	mitochondria
Other repeat	1	9981	Unplaced contigs	repeat_region
Telomere	3	9981	Unplaced contigs	telomere
None	6	9981	Unplaced contigs	NA
45S rDNA	8	10002	Unplaced contigs	45S
5S rDNA	9	10002	Unplaced contigs	5S
Centromere	52	10002	Unplaced contigs	centromere
Plastid	4	10002	Unplaced contigs	chloroplast
Transposable element	9	10002	Unplaced contigs	ClassI_LTR
Transposable element	1	10002	Unplaced contigs	ClassII_Helitrons
Transposable element	1	10002	Unplaced contigs	ClassII_TIR
Mitochondria	8	10002	Unplaced contigs	mitochondria
Telomere	1	10002	Unplaced contigs	telomere
None	7	10002	Unplaced contigs	NA
45S rDNA	49	10015	Unplaced contigs	45S
5S rDNA	5	10015	Unplaced contigs	5S
Centromere	52	10015	Unplaced contigs	centromere
Plastid	2	10015	Unplaced contigs	chloroplast
Transposable element	4	10015	Unplaced contigs	ClassI_LTR
Transposable element	3	10015	Unplaced contigs	ClassII_Helitrons
Transposable element	2	10015	Unplaced contigs	ClassII_TIR
Mitochondria	4	10015	Unplaced contigs	mitochondria
Other repeat	1	10015	Unplaced contigs	repeat_region
Telomere	4	10015	Unplaced contigs	telomere
None	8	10015	Unplaced contigs	NA
45S rDNA	23	10024	Unplaced contigs	45S
5S rDNA	14	10024	Unplaced contigs	5S
Centromere	35	10024	Unplaced contigs	centromere
Plastid	17	10024	Unplaced contigs	chloroplast
Transposable element	10	10024	Unplaced contigs	ClassI_LTR
Transposable element	1	10024	Unplaced contigs	ClassII_Helitrons
Transposable element	3	10024	Unplaced contigs	ClassII_TIR
Mitochondria	6	10024	Unplaced contigs	mitochondria
Other repeat	1	10024	Unplaced contigs	repeat_region
Telomere	6	10024	Unplaced contigs	telomere
None	18	10024	Unplaced contigs	NA
45S rDNA	34	22001	Unplaced contigs	45S
5S rDNA	9	22001	Unplaced contigs	5S
Centromere	164	22001	Unplaced contigs	centromere
Plastid	21	22001	Unplaced contigs	chloroplast
Transposable element	6	22001	Unplaced contigs	ClassI_LTR
Transposable element	1	22001	Unplaced contigs	ClassII_Helitrons
