group	AraportID	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed.S	N_acc_where_expressed.R	N_acc_where_expressed.F	N_acc_where_expressed.P
AT1SG10003196	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	2	0
AT1SG10003203	NA	FALSE	FALSE	TRUE	FALSE	FALSE	2	2	13	3
AT1SG10003216	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	1	3	0
AT1SG10003243	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	1
AT1SG10003252	NA	FALSE	FALSE	FALSE	FALSE	FALSE	6	6	5	2
AT1SG10003256	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003258	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0	0
AT1SG10003269	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	1
AT1SG10003281	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003282	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10003283	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	0	1
AT1SG10003284	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10003286	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10003295	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10003296	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10003297	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	2
AT1SG10003300	NA	FALSE	FALSE	FALSE	FALSE	TRUE	13	13	10	1
AT1SG10003302	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	3	4	4
AT1SG10003304	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	4	5	4
